api_fetched_at,timestamp,temperature,rainfall,hour,condition
2026-06-08 17:20:04,2026-06-06 15:00:00,24.4,0.0,15,Clear
2026-06-08 17:20:04,2026-06-06 16:00:00,24.7,0.0,16,Clear
2026-06-08 17:20:04,2026-06-06 17:00:00,24.1,0.0,17,Clear
2026-06-08 17:20:04,2026-06-06 18:00:00,23.6,0.0,18,Clear
2026-06-08 17:20:04,2026-06-06 19:00:00,23.1,0.0,19,Clear
2026-06-08 17:20:04,2026-06-06 20:00:00,22.1,0.0,20,Clear
2026-06-08 17:20:04,2026-06-06 21:00:00,20.4,0.0,21,Clear
2026-06-08 17:20:04,2026-06-06 22:00:00,19.2,0.0,22,Clear
2026-06-08 17:20:04,2026-06-06 23:00:00,18.2,0.0,23,Clear
2026-06-08 17:20:04,2026-06-07 00:00:00,17.0,0.0,0,Clear
2026-06-08 17:20:04,2026-06-07 01:00:00,16.8,0.0,1,Clear
2026-06-08 17:20:04,2026-06-07 02:00:00,17.3,0.0,2,Clear
2026-06-08 17:20:04,2026-06-07 03:00:00,16.8,0.0,3,Clear
2026-06-08 17:20:04,2026-06-07 04:00:00,15.9,0.1,4,Light Rain
2026-06-08 17:20:04,2026-06-07 05:00:00,16.0,0.3,5,Light Rain
2026-06-08 17:20:04,2026-06-07 06:00:00,16.4,0.0,6,Clear
2026-06-08 17:20:04,2026-06-07 07:00:00,17.9,0.0,7,Clear
2026-06-08 17:20:04,2026-06-07 08:00:00,17.4,0.2,8,Light Rain
2026-06-08 17:20:04,2026-06-07 09:00:00,19.5,0.0,9,Clear
2026-06-08 17:20:04,2026-06-07 10:00:00,19.9,0.0,10,Clear
2026-06-08 17:20:04,2026-06-07 11:00:00,20.6,0.0,11,Clear
2026-06-08 17:20:04,2026-06-07 12:00:00,20.4,0.0,12,Clear
2026-06-08 17:20:04,2026-06-07 13:00:00,20.4,0.0,13,Clear
2026-06-08 17:20:04,2026-06-07 14:00:00,20.1,0.0,14,Clear
2026-06-08 17:20:04,2026-06-07 15:00:00,20.4,0.0,15,Clear
2026-06-08 17:20:04,2026-06-07 16:00:00,20.2,0.0,16,Clear
2026-06-08 17:20:04,2026-06-07 17:00:00,20.1,0.0,17,Clear
2026-06-08 17:20:04,2026-06-07 18:00:00,19.7,0.0,18,Clear
2026-06-08 17:20:04,2026-06-07 19:00:00,18.8,0.0,19,Clear
2026-06-08 17:20:04,2026-06-07 20:00:00,18.0,0.0,20,Clear
2026-06-08 17:20:04,2026-06-07 21:00:00,17.5,0.0,21,Clear
2026-06-08 17:20:04,2026-06-07 22:00:00,17.0,0.0,22,Clear
2026-06-08 17:20:04,2026-06-07 23:00:00,16.6,0.0,23,Clear
2026-06-08 17:20:04,2026-06-08 00:00:00,15.6,0.0,0,Clear
2026-06-08 17:20:04,2026-06-08 01:00:00,15.1,0.0,1,Clear
2026-06-08 17:20:04,2026-06-08 02:00:00,14.5,0.0,2,Clear
2026-06-08 17:20:04,2026-06-08 03:00:00,13.2,0.0,3,Clear
2026-06-08 17:20:04,2026-06-08 04:00:00,13.0,0.0,4,Clear
2026-06-08 17:20:04,2026-06-08 05:00:00,13.9,0.0,5,Clear
2026-06-08 17:20:04,2026-06-08 06:00:00,15.5,0.0,6,Clear
2026-06-08 17:20:04,2026-06-08 07:00:00,17.2,0.0,7,Clear
2026-06-08 17:20:04,2026-06-08 08:00:00,18.6,0.0,8,Clear
2026-06-08 17:20:04,2026-06-08 09:00:00,19.8,0.0,9,Clear
2026-06-08 17:20:04,2026-06-08 10:00:00,21.0,0.0,10,Clear
2026-06-08 17:20:04,2026-06-08 11:00:00,22.3,0.0,11,Clear
2026-06-08 17:20:04,2026-06-08 12:00:00,23.1,0.0,12,Clear
2026-06-08 17:20:04,2026-06-08 13:00:00,24.5,0.0,13,Clear
2026-06-08 17:20:04,2026-06-08 14:00:00,24.5,0.0,14,Clear
2026-06-08 17:20:04,2026-06-08 15:00:00,25.4,0.0,15,Clear
2026-06-08 17:20:04,2026-06-08 16:00:00,25.4,0.0,16,Clear
2026-06-08 17:20:04,2026-06-08 17:00:00,25.2,0.0,17,Clear
2026-06-08 17:20:04,2026-06-08 18:00:00,24.8,0.0,18,Clear
2026-06-08 17:20:04,2026-06-08 19:00:00,23.8,0.0,19,Clear
2026-06-08 17:20:04,2026-06-08 20:00:00,22.6,0.0,20,Clear
2026-06-08 17:20:04,2026-06-08 21:00:00,21.6,0.0,21,Clear
2026-06-08 17:20:04,2026-06-08 22:00:00,20.8,0.0,22,Clear
2026-06-08 17:20:04,2026-06-08 23:00:00,20.4,0.0,23,Clear
